PSA_NUM,total,hispanic_or_latino,white,black,american_indian,asian,unknown
011,29949,2007,13930,7520,38,5362,1092
012,8456,379,6734,584,12,596,151
021,40494,12002,5610,14314,72,6182,2314
022,29605,7878,4941,12381,35,3320,1050
023,43211,7620,17961,7092,53,7615,2870
031,21067,1570,14118,2362,21,1876,1120
032,22534,2495,14342,1488,12,3360,837
033,47717,8307,25422,2146,29,10266,1547
051,15934,890,12405,1250,13,616,760
052,12653,643,10059,846,19,463,623
053,14911,814,10295,2400,18,724,660
061,14585,1220,6936,3845,26,1879,679
062,11414,705,5887,1240,16,3139,427
063,21414,1252,15478,1493,29,2225,937
071,25509,2477,15637,2576,19,3111,1689
072,35251,2342,21727,3012,36,6697,1437
073,35427,1921,23172,1862,43,6683,1746
077,0,0,0,0,0,0,0
081,32768,4390,17747,6877,49,2472,1233
082,36895,3358,26002,4241,54,1861,1379
083,29140,2722,21345,2512,38,1576,947
091,23050,1312,17481,828,20,2443,966
092,20694,1254,13467,1666,15,3418,874
093,21605,1523,15257,2536,24,1216,1049
121,15485,527,1341,12089,32,1084,412
122,17116,794,544,14040,22,1182,534
123,22102,1009,1029,17763,45,1444,812
124,16823,568,1437,13962,37,215,604
141,43363,1127,1113,39321,120,206,1476
142,20971,900,1340,17594,63,146,928
143,20085,978,8034,9261,24,543,1245
144,28440,1113,10189,15253,60,563,1262
151,38878,11303,11554,13505,95,889,1532
152,45899,15285,12219,13870,113,2404,2008
153,53849,11786,23540,8759,69,6596,3099
161,19947,1140,7354,7894,22,2863,674
162,20997,899,1588,16733,54,860,863
171,20620,1159,13353,3256,21,1701,1130
172,11494,903,2638,6397,42,1032,482
173,17438,1486,6260,7294,31,1595,772
181,19840,633,620,17410,67,307,803
182,22506,940,3245,16634,82,608,997
183,38131,2854,16865,7189,40,8986,2197
191,29580,951,3334,23845,42,437,971
192,30459,941,461,27670,73,254,1060
193,26431,983,4143,18840,60,1369,1036
221,23069,1531,5377,14342,64,934,821
222,19247,801,324,17358,47,97,620
223,21794,1654,7089,9505,31,2588,927
224,12393,734,3231,7510,22,344,552
241,30653,18315,4002,5761,40,1805,730
242,19281,11879,2691,3707,25,413,566
243,18127,2323,13828,900,14,353,709
251,15693,8825,317,5896,20,277,358
252,19329,12589,1182,4224,11,913,410
253,17604,14159,756,2222,8,205,254
254,14684,7696,293,6184,25,168,318
261,12625,6391,974,4555,14,328,363
262,19120,3784,9755,3473,37,1222,849
263,26066,3156,18673,1187,21,1877,1152
351,37736,4757,1941,25331,76,4435,1196
352,34062,7831,1051,21395,42,2761,982
353,28101,1310,1237,24081,80,545,848
391,28553,1562,9393,15111,42,1054,1391
392,14536,878,295,12681,39,173,470
393,16387,742,265,14762,33,111,474
